,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Contract ID,Date From,Date To,Review Date, Value ,Category,Department,Type,Description,SuppID,Supplier,SupSize,Address 1,Adress 2,Address 3,POC
C448,01/10/2014,30/09/2017,01/07/2017," 24,000.00 ",Furniture & Soft Furnishings,Community Services,Framework,Supply of Non Standard Office Furniture Framework,20002998,JBL,SME,ACCOUNTS,PO BOX 67,OXFORD,OX1 5JY
C459,03/10/2013,02/12/2019,01/07/2016," 118,141.00 ",Financial Services,Financial Services,Request For Quotation,Paris,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD,LGE,NORTHGATE INFORMATION SOLUTIONS,"PEOPLEBUILDING 2, PEOPLEBUILDING ESTATE","MAYLANDS AVENUE, HEMEL HEMPSTEAD",HP2 4NW
C460,21/10/2014,24/04/2019,01/09/2018," 340,000.00 ",Information Communication Technology,Business Improvement,Tender,Super Connnected Oxford - Oxford University Museums Hotspots Grant Award,20011651,UNIVERSITY OF OXFORD,LGE,FINANCE DIVISION,"CASHIERS OFFICE,",23-38 HYTHE BRIDGE STREET,OX1 2ET
C467,01/06/2014,31/05/2019,31/07/2018," 212,110.00 ",Utilities,Housing & Property,Official Journal of the European Union,Electrical Fixed Installation Testing,20000249,SSE CONTRACTING LTD,LGE,ARROWHEAD ROAD,THEALE,,RG74AH
C479,01/01/2014,31/12/2018,01/07/2017," 300,000.00 ",Health & Safety,Housing & Property,Request For Quotation,"Maintenance of Fire Alarm, Emergency Lighting, Sprinkler & Fire Extinguishers",20002568,PYROTEC SERVICES LTD,SME,Avalon House,Marcham Road,Abingdon,OX14 1TZ
C492,12/12/2014,12/12/2017,01/12/2016," 20,000.00 ",Facilities & Management Services,Community Services,Request For Quotation,Supply & Installation of Electric Vehicle Charging Points,20018381,EDF ENERGY CUSTOMER FIELD SERVICES PLC,LGE,255 BROADWAY,BEXLEYHEATH,KENT,DA6 8ET
C498,27/10/2014,31/03/2019,01/07/2017," 400,000.00 ",Information Communication Technology,Business Improvement,Official Journal of the European Union,Supply of In Building Wireless Hotspots in Public Buildings,20006940,BT GLOBAL SERVIES,LGE,81 NEWGATE STREET,LONDON,,EC1A 7AJ
C504,19/11/2014,14/12/2017,14/06/2017," 50,000.00 ",Facilities & Management Services,Community Services,Framework,Print Room Equipment,20018722,SHARP BUSINESS SYSTEMS UK PLC,LGE,NORTHERN HOUSE,MOOR KNOLL LANE,EAST ARDSLEY WAKEFIELD,WF3 2EE
C507,01/01/2015,31/12/2017,01/12/2017," 25,500.00 ",Human Resources,Business Improvement,Request For Quotation,Employee Assistance Programme,20018748,OPTUM HEALTH SOLUTIONS (UK) LTD,LGE,4200 NASH COURT,JOHN SMITH DRIVE,OXFORD BUSINESS PARK SOUTH,OX4 2RU
C520,28/03/2014,28/03/2021,01/09/2020," 68,800.00 ",Information Communication Technology,Financial Services,Request For Quotation,TRUSTID Identity Document Authentication Solution,20018384,TRUSTED TERMINAL LTD (TRADING AS TRUST ID),SME,DUKESBRIDGE HOUSE,23 DUKE STREET,READING,RG7 1NT
C524,13/01/2015,13/01/2025,13/01/2024," 550,000.00 ",Consultancy,Housing & Property,Framework,Deed of Professional Appointment relating to the Barton Regeneration Project,20008132,ARCADIS LLP,LGE,PO BOX 307,5TH FLOOR ROYAL EXCHANGE,MANCHESTER,M60 3NT
C526,01/12/2014,31/03/2019,01/12/2018," 100,000.00 ",Information Communication Technology,Business Improvement,,Super Connnected Oxford - Oxfordshire County Council Grant Award,20002930,OXFORDSHIRE COUNTY COUNCIL,LGE,MAIN OFFICE,SHARED SERVICES,"INCOME TEAM, PO BOX 1479",OX4 9AL
C532,01/04/2015,31/03/2018,01/01/2018," 4,000.00 ",Financial Services,Financial Services,Request For Quotation,Experian System Agreement - 2015 to 2017,20009660,EXPERIAN LTD,SME,SIR JOHN PEACE BUILDING,EXPERIAN WAY,NG2 BUSINESS PARK,NG80 1ZZ
C535,01/04/2015,31/03/2018,01/01/2018," 18,000.00 ",Catering,Community Services,Request For Quotation,Operation of Ice Cream Van Pitches in Oxford City,29999999,CAM Supplier,,,,,
C536,01/04/2015,31/03/2018,01/01/2018," 55,000.00 ",Facilities & Management Services,Community Services,Request For Quotation,Operation and Management of the Parks Kiosks,29999999,CAM Supplier,,,,,
C537,01/04/2015,31/03/2018,01/01/2018," 9,000.00 ",Sports & Playground Equipment & Maintenance,Community Services,Request For Quotation,Provision of a Tennis Coaching Programme in Oxford City,29999999,CAM Supplier,,,,,
C540,19/12/2014,30/06/2017,01/03/2017," 35,000.00 ",Arts & Leisure Services,Community Services,Request For Quotation,Delivery of High Sherriff Challenge,20018812,ACCESS SPORTS CIO,SME,3 DURHAM YARD,TEESDALE STREET,LONDON,E2 6QF
C541,01/04/2015,01/04/2018,01/01/2018," 17,020.57 ",Information Communication Technology,Community Services,Request For Quotation,TEAM Sigma M&S and Software Hosting Service,20016003,TEAM (ENERGY AUDITING AGENCY LTD),SME,34 THE FORUM,ROCKINGHAM DRIVE,LINFORD WOOD,MK14 6LY
C543,27/03/2015,27/03/2018,01/01/2018," 47,000.00 ",Information Communication Technology,Financial Services,Request For Quotation,InCase Intelligence Fraud Suite,20018810,INTEC FOR BUSINESS LTD,SME,ASHBY HOUSE,3 DERBYSHIRE ROAD SOUTH,SALE,M33 3JN
C545,01/03/2016,28/02/2019,01/03/2017," 40,350.00 ",Street & Traffic Management,Direct Services,Framework,Penalty Notice System,20018834,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS LTD,SME,7 HILL STREET,BRISTOL,,BS1 5PU
C546,01/04/2015,31/03/2018,01/01/2018," 95,195.00 ",Information Communication Technology,Business Improvement,Tender,Website Redevelopment Contract,20018839,JADU LTD,SME,UNIVERSE HOUSE,MERUS COURT,LEICESTER,LE19 1RJ
C554,01/05/2015,30/04/2018,01/01/2018," 12,820.68 ",Facilities & Management Services,Community Services,Framework,Folder Inserter and Associated Maintenance Contract,20008022,NEOPOST FINANCE LIMITED,SME,NEOPOST HOUSE,SOUTH STREET,ROMFORD,RM1 2AR
C555,20/02/2013,20/02/2018,01/12/2017," 2,875.00 ",Environmental Services,Community Services,Request For Quotation,Solar Panel Smart Meters,20016360,STARK SOFTWARE INTERNATIONAL LTD,SME,SENTINEL HOUSE,10-12 MASSETTS ROAD,HORLEY,RH6 7DE
C557,01/04/2015,31/03/2018,01/09/2017," 500,000.00 ",Construction,Housing & Property,Framework,Supply of Windows and Doors,20015885,NATIONWIDE WINDOWS,SME,74-88 SOMERS ROAD,RUGBY,WARWICKSHIRE,CV22 7CH
C561,08/05/2015,08/05/2018,01/02/2018," 15,960.00 ",Health & Safety,Housing & Property,Request For Quotation,Asbestos Database,20014242,ASBESTOS CONSULTANCY & MANAGEMENT SERVICES LTD T/A ACMS UK,SME,UNIT 1 HEATHCOAT BUILDING,NOTTINGHAM SCIENCE PARK,UNIVERSITY BOULEVARD,NG7 2QJ
C563,01/07/2015,30/06/2018,01/03/2018," 750,000.00 ",Information Communication Technology,Business Improvement,Framework,Converged Telephony Solution,20006940,BT GLOBAL SERVIES,LGE,81 NEWGATE STREET,LONDON,,EC1A 7AJ
C567,05/06/2015,05/06/2018,01/01/2018," 15,000.00 ",Street & Traffic Management,Direct Services,Request For Quotation,Supply of Parking Tickets,20003020,BEMROSE BOOTH LTD,SME,STOCKHOLM ROAD,SUTTON FIELDS INDUSTRIAL ESTATE,HULL,HU7 0XY
C570,01/08/2015,31/07/2018,01/05/2018," 29,111.58 ",Housing Management,Housing & Property,Request For Quotation,HouseMark Subscription,20012480,HOUSEMARK LTD,SME,8 RILEY COURT,MILBURN HILL RD,UNIVERSITY OF WARWICK SCIENCE PARK,CV4 7HP
C571,23/06/2015,22/06/2018,22/03/2017," 300,000.00 ",Consultancy,Financial Services,Framework,Provision of Resilience Support to the Revenues and Benefits Service,20010153,CIVICA UK LTD,LGE,CASTLEGATE HOUSE,CASTLEGATE DRIVE,DUDLEY,DY1 4TD
C573,01/04/2015,31/03/2018,01/01/2018," 33,000.00 ",Health & Safety,Planning & Regulatory,Request For Quotation,Provision of Food Hygiene Official Controls,20009530,OSBORNE RICHARDSON LTD,SME,FOURTH FLOOR,CIRCUS HOUSE,26 LITTLE PORTLAND STREET,W1W 8BX
C574,01/04/2015,31/03/2018,01/01/2016," 41,000.00 ",Information Communication Technology,Business Improvement,Request For Quotation,Mobile App: Master Software as a Service Agreement,20018907,CLOUD 9 TECHNOLOGIES,SME,9 MALT FIELD,LYMPSTON,DEVON,EX8 5ND
C575,01/04/2014,31/03/2019,01/01/2018," 115,615.00 ",Information Communication Technology,Business Improvement,Request For Quotation,ArcGIS,20008475,ESRI (UK) LTD,SME,MILLENNIUM HOUSE,65 WALTON STREET,AYLESBURY,HP21 7QG
C577,01/02/2015,31/03/2021,01/09/2020," 30,000.00 ",Facilities & Management Services,Community Services,Request For Quotation,Management and Development of Poster Boards,29999999,CAM Supplier,,,,,
C581,13/07/2015,13/07/2018,01/01/2018," 47,296.65 ",Information Communication Technology,Business Improvement,Framework,Hosting of Council Website with Associated Server Maintenance and Support,20018969,ARCUS GLOBAL LIMITED,SME,FUTURE BUSINESS CENTRE,KINGS HEDGES ROAD,CAMBRIDGE,CB4 2HY
C582,01/09/2015,31/07/2017,01/01/2017," 174,494.00 ",Consultancy,Business Improvement,Tender,"Provision of a Leadership and Management Development Programme, Incorporating a Development Centre Approach",20017304,Q.LEARNING LTD,SME,CHILTERN HOUSE,45 STATION ROAD,HENLEY ON THAMES,RG9 2AR
C587,01/04/2015,31/03/2018,01/09/2017," 16,950.00 ",Information Communication Technology,Business Improvement,Request For Quotation,Consultation Portal,20015282,INOVEM LTD,SME,WESTON COURT,NEWBURY ROAD,WESTON,RG20 8JE
C596,17/08/2015,16/08/2019,05/01/2019," 83,640.00 ",Facilities & Management Services,Housing & Property,Framework,Lease of Laundry Equipment,20018987,JAMES ARMSTRONG & CO LTD,SME,AMPERE ROAD,NEWBURY,BERKS,RG14 2AE
C600,01/09/2015,01/04/2021,01/04/2020," 3,500,000.00 ",Information Communication Technology,Business Improvement,Official Journal of the European Union,ICT Infrastructure Partner,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC),LGE,EUROPEAN HEADQUATERS,JAMES HOUSE,WARWICK ROAD,B11 2LE
C602,01/01/2016,31/03/2019,01/01/2019," 180,000.00 ",Information Communication Technology,Business Improvement,Framework,Wide Area Network,20008028,VODAFONE LIMITED (CORPORATE),LGE,PO BOX 5583,NEWBURY,BERKSHIRE,RG14 5FF
C605,30/10/2015,30/12/2018,30/06/2018," 74,000.00 ",Information Communication Technology,Business Improvement,Tender,IT and Support Services Service Desk Solution,20019027,ALEMBA LIMITED,SME,2ND FLOOR,TANNERY HOUSE,TANNERY LANE,GU23 7EF
C611,01/08/2015,31/07/2017,01/01/2017," 97,180.00 ",Facilities & Management Services,Community Services,Tender,City Centre Ambassador Services,20016981,SCOPE SECURITY LTD,SME,162 COWLEY ROAD,OXFORD,,OX4 1UE
C614,30/06/2015,29/06/2018,01/01/2018," 9,300.00 ",Environmental Services,Community Services,Request For Quotation,NHH Data Collection Gas Loggers and Gas Data Collection,20016360,STARK SOFTWARE INTERNATIONAL LTD,SME,SENTINEL HOUSE,10-12 MASSETTS ROAD,HORLEY,RH6 7DE
C618,15/07/2015,15/07/2017,01/01/2017," 30,000.00 ",Street & Traffic Management,Direct Services,Request For Quotation,Refurbishment of Street Furniture Benches,20010967,MALCOLM LANE & SON LTD,SME,30 MAIN ROAD,RADCLIFFE-ON-TRENT,NOTTINGHAM,NG12 2GJ
C619,01/10/2015,30/09/2018,01/04/2018," 388,542.00 ",Consultancy,Financial Services,Official Journal of the European Union,Provision of Internal Audit Services,20019082,BDO LLP,LGE,CENTRAL FINANCE TEAM,2 CITY PLACE,BEEHIVE RING ROAD,RH6 PA
C620,01/09/2015,31/08/2019,01/01/2019," 28,000.00 ",Legal Services,Law & Governance,Framework,Legal Services Framework,20019078,BOND DICKINSON LLP,LGE,BALLARD HOUSE,WEST HOE ROAD,PLYMOUTH,PL1 3AE
C621,01/09/2015,31/08/2019,01/01/2019," 28,000.00 ",Legal Services,Law & Governance,Framework,Legal Services Framework,20018785,BLAKE MORGAN,LGE,SEACOURT TOWER,WEST WAY,OXFORD,OX2 0FB
C622,01/09/2015,31/08/2019,01/01/2019," 28,000.00 ",Legal Services,Law & Governance,Framework,Legal Services Framework,20008797,"KNIGHTS PROFESSIONAL SERVICES LTD.,",SME,THE BRAMPTON,NEWCASTLE-UNDER-LYME,STAFFS,ST5 0QW
C623,01/09/2015,31/08/2019,01/01/2019," 28,000.00 ",Legal Services,Law & Governance,Framework,Legal Services Framework,20018250,PINSENT MASONS LLP,SME,1 PARK ROW,LEEDS,,LS1 1AB
C624,01/09/2015,31/08/2019,01/01/2019," 28,000.00 ",Legal Services,Law & Governance,Framework,Legal Services Framework,20018460,VEALE WASBROUGH VIZARD,LGE,ORCHARD LANE,BRISTOL,,BS1 5WS
C628,26/11/2015,25/11/2018,01/01/2018," 18,157,804.31 ",Construction,Housing & Property,Framework,Oxford Tower Block Refurbishment,20016787,WILLMOTT DIXON CONSTRUCTION LTD,LGE,CHANTRY HOUSE,HIGH STREET,COLESHILL,B46 3BP
C629,26/10/2015,25/10/2019,01/01/2019," 445,500.00 ",Facilities & Management Services,Financial Services,Framework,Bill Printing and Distibution,20019101,CRITIQOM LTD,SME,DOCUMENT HOUSE,PHOENIX CRESCENT,STRATHCLYDE BUSINESS PARK,ML4 3NJ
C631,04/01/2016,03/01/2018,01/08/2017," 7,462.00 ",Information Communication Technology,Business Improvement,Request For Quotation,Website Speech and Reading Support (Browsealoud),20019122,TEXTHELP LTD,SME,LUCAS EXCHANGE,1 ORCHARD WAY GREYSTONE ROAD,ANTRIM,BT41 2RU
C632,01/12/2015,01/12/2017,01/08/2017," 170,000.00 ",Consultancy,Community Services,Framework,"Provision of Design and Quality Management Services for the Flood Alleviation Scheme at Northway and Marston, Oxford",20013684,ATKINS LIMITED,SME,ATKINS SHARED SERVICE FACILITY,PO BOX 329 KINGS COURT,CHARLES HASTINGS WAY,WR5 1TX
C634,01/04/2014,31/03/2018,01/01/2018," 185,425.00 ",Facilities & Management Services,Community Services,Request For Quotation,Management and Promotion of Carfax Tower,20012056,CITY SIGHTSEEING,SME,OXFORD RAILWAY STATION,OXFORD,,OX1 1HS
C635,01/09/2015,31/08/2019,01/01/2019," 28,000.00 ",Legal Services,Law & Governance,Framework,Legal Services Framework,20017278,BROWNE JACOBSON LLP,SME,MOWBRAY HOUSE,CASTLE MEADOW ROAD,NOTTINGHAM,NG2 1BJ
C636,01/02/2016,31/01/2018,01/12/2017," 17,400.00 ",Environmental Services,Community Services,Framework,Biomass pellet supply for Albert House and Cardinal House,20019124,BILLINGTON BIOENERGY LTD,SME,CUNARD BUILDING,LIVERPOOL,,L3 1EL
C646,17/09/2015,16/09/2017,01/05/2017," 9,817.42 ",Information Communication Technology,Housing & Property,Request For Quotation,Development Appraisal Software,20019157,SHELTON DEVELOPMENT SERVICES LTD,SME,ASTRA HOUSE,THE COMMON,CRANLEIGH,GU6 8RZ
C652,06/11/2015,05/11/2018,01/09/2018," 8,100.00 ",Information Communication Technology,Financial Services,Request For Quotation,Ilatch - Tenancy Checker Software,20018810,INTEC FOR BUSINESS LTD,SME,ASHBY HOUSE,3 DERBYSHIRE ROAD SOUTH,SALE,M33 3JN
C653,11/07/2013,10/07/2017,01/09/2018," 30,550.00 ",Information Communication Technology,Business Improvement,Request For Quotation,Tree Management System,20018060,R & A SOFTWARE SYSTEMS T/A RA INFORM SYSTEMS,SME,RA HOUSE,9-10 THE BRIDGE,BERESFORD WAY,S41 9FG
C655,25/02/2016,30/09/2017,30/09/2017," 600,000.00 ",Environmental Services,Community Services,Tender,Local Growth Funding for Northway and Marston Flood Alleviation Scheme,20002930,OXFORDSHIRE COUNTY COUNCIL,LGE,MAIN OFFICE,SHARED SERVICES,"INCOME TEAM, PO BOX 1479",OX4 9AL
C658,24/06/2015,31/03/2019,01/01/2018," 67,543.00 ",Information Communication Technology,Community Services,Framework,Provision of a Leisure Booking Facility for Community Services,20019212,XN LEISURE SYSTEMS LTD,SME,"85D Park Drive,","Milton Park,","Abingdon,",OX14 4RY
C659,01/04/2016,31/03/2019,01/06/2018," 99,000.00 ",Facilities & Management Services,Business Improvement,Tender,Out of Hours Call Handling Service,20010258,ORBIS PROTECT LIMITED,LGE,BEAUFORT HOUSE,CRICKET FIELD ROAD,UXBRIDGE,UB8 1QG
C660,01/01/2015,31/12/2017,01/01/2017," 50,000.00 ",Housing Management,Housing & Property,Request For Quotation,Asset Valuations (Commercial) 2014/15-2016/17,20016567,CARTER JONAS,LGE,43 PRIESTGATE,PETERBOROUGH,,PE1 1AR
C662,01/04/2015,31/03/2018,01/01/2017," 1,052,679.00 ",Social Community Care,Housing & Property,Official Journal of the European Union,A Single Homeless Outreach & Assessment Service,20019143,ST MUNGOS,LGE,FLOOR 2,GRIFFIN HOUSE,161 HAMMERSMITH ROAD,W6 8BS
